연번,전통시장명,상호명,운영시간,업종구분,도로명주소,지번주소,전화번호,위도,경도,데이터기준일자
142,동부시장,레인보우주택,,기타,강원도 강릉시 옥천로 48 동부시장2층 233호,강원도 강릉시 옥천동 223 동부시장2층 233호,,37.760152,128.901354,2021-12-10
143,동부시장,시조협회,,기타,"강원도 강릉시 옥천로 48 동부시장2층 236,237호","강원도 강릉시 옥천동 223 동부시장2층 236,237호",,37.600552,128.901256,2021-12-10
144,동부시장,박무규,,기타,강원도 강릉시 옥천로 48 동부시장2층 238호,강원도 강릉시 옥천동 223 동부시장2층 238호,,37.760094,128.901191,2021-12-10
145,동부시장,동용횟집,,식당/음식,강원도 강릉시 옥천로 48 동부시장2층 239호,강원도 강릉시 옥천동 223 동부시장2층 239호,,37.760021,128.901106,2021-12-10
146,동부시장,길자비,,기타,강원도 강릉시 옥천로 48 동부시장2층 241호,강원도 강릉시 옥천동 223 동부시장2층 241호,,37.759964,128.901154,2021-12-10
147,동부시장,한라라파즈,,기타,강원도 강릉시 옥천로 48 동부시장2층 242호,강원도 강릉시 옥천동 223 동부시장2층 242호,,37.760027,128.901333,2021-12-10
148,동부시장,우정모임,,기타,강원도 강릉시 옥천로 48 동부시장2층 244호,강원도 강릉시 옥천동 223 동부시장2층 244호,,37.75998,128.901383,2021-12-10
149,동부시장,강농30기,,기타,강원도 강릉시 옥천로 48 동부시장2층 245호,강원도 강릉시 옥천동 223 동부시장2층 245호,,37.759964,128.901432,2021-12-10
150,동부시장,엄마손 칼국수,,식당/음식,"강원도 강릉시 옥천로 48 동부시장2층 246,247,248호","강원도 강릉시 옥천동 223 동부시장2층 246,247,248호",,37.759832,128.901223,2021-12-10
151,동부시장,두메산골,,식당/음식,"강원도 강릉시 옥천로 48 동부시장2층 249,250호","강원도 강릉시 옥천동 223 동부시장2층 249,250호",,37.759968,128.901056,2021-12-10
152,동부시장,연합사무실,,기타,강원도 강릉시 옥천로 48 동부시장2층 251호,강원도 강릉시 옥천동 223 동부시장2층 251호,,37.759912,128.901005,2021-12-10
153,동부시장,금강 소주방,,식당/음식,강원도 강릉시 옥천로 48 동부시장2층 252호,강원도 강릉시 옥천동 223 동부시장2층 252호,,37.759854,128.900956,2021-12-10
154,동부시장,강릉식당,,식당/음식,강원도 강릉시 옥천로 48 동부시장2층 253호,강원도 강릉시 옥천동 223 동부시장2층 253호,,37.759819,128.900925,2021-12-10
155,동부시장,경포초 29기,,기타,강원도 강릉시 옥천로 48 동부시장2층 254호,강원도 강릉시 옥천동 223 동부시장2층 254호,,37.759782,128.900869,2021-12-10
156,동부시장,상인회 사무실,,기타,강원도 강릉시 옥천로 48 동부시장2층 255호,강원도 강릉시 옥천동 223 동부시장2층 255호,033-647-7999,37.759746,128.900831,2021-12-10
157,동부시장,중앙고 45회,,기타,강원도 강릉시 옥천로 48 동부시장2층 256호,강원도 강릉시 옥천동 223 동부시장2층 256호,,37.759696,128.900764,2021-12-10
158,동부시장,제일고 28회,,기타,강원도 강릉시 옥천로 48 동부시장2층 257호,강원도 강릉시 옥천동 223 동부시장2층 257호,,37.759623,128.900738,2021-12-10
159,동부시장,동부당구장휴게실,,수산물,강원도 강릉시 옥천로 48 동부시장2층 258호,강원도 강릉시 옥천동 223 동부시장2층 258호,,37.75954,128.900706,2021-12-10
160,동부시장,동부 당구장,,기타,강원도 강릉시 옥천로 48 동부시장2층 259호,강원도 강릉시 옥천동 223 동부시장2층 259호,,37.75947,128.900759,2021-12-10
161,동부시장,별미여행,,식당/음식,"강원도 강릉시 옥천로 48 동부시장2층 260,261호","강원도 강릉시 옥천동 223 동부시장2층 260,261호",,37.759577,128.90089,2021-12-10
162,동부시장,별미여행,,식당/음식,강원도 강릉시 옥천로 48 동부시장2층 262호,강원도 강릉시 옥천동 223 동부시장2층 262호,033-655-0050,37.759603,128.900941,2021-12-10
163,동부시장,NGO(환경보호국민운동본부),,기타,강원도 강릉시 옥천로 48 동부시장2층 263호,강원도 강릉시 옥천동 223 동부시장2층 263호,033-648-9374,37.759663,128.90101,2021-12-10
164,동부시장,옥천통닭,,식당/음식,강원도 강릉시 옥천로 48 동부시장2층 264호,강원도 강릉시 옥천동 223 동부시장2층 264호,,37.759971,128.900916,2021-12-10
165,동부시장,OB축구단,,기타,강원도 강릉시 옥천로 48 동부시장2층 265호,강원도 강릉시 옥천동 223 동부시장2층 265호,,37.759903,128.900974,2021-12-10
166,동부시장,워킹클럽(단란주점),16:00-22:00,식당/음식,강원도 강릉시 옥천로 48 동부시장 지하1층,강원도 강릉시 옥천동 223 동부시장 지하1층,,37.759686,128.900994,2021-12-10
167,동부시장,산내들다방,10:00-20:00,식당/음식,강원도 강릉시 옥천로 48 동부시장 지하1층,강원도 강릉시 옥천동 223 동부시장 지하1층,,37.759558,128.900862,2021-12-10
